accident_id,city,state,latitude,longitude,hour,lanes,traffic_signal,visibility,temperature,traffic_density,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,is_festival,month,year,cause_drunk driving,cause_overspeeding,cause_poor road,cause_weather,weather_fog,weather_rain,road_type_rural,road_type_urban,day_of_week_Monday,day_of_week_Saturday,day_of_week_Sunday,day_of_week_Thursday,day_of_week_Tuesday,day_of_week_Wednesday
0,Pune,Maharashtra,18.680827,73.930388,5,3,1,0,32,2,2,2,2,0,None,0.85,0,10,2023,False,False,False,True,True,False,False,False,False,False,True,False,False,False
1,Mumbai,Maharashtra,18.817732,72.790846,4,4,0,2,34,0,1,4,3,0,None,0.1,0,5,2023,False,False,False,True,False,False,False,True,False,False,True,False,False,False
2,Mumbai,Maharashtra,19.096889,72.819424,13,3,0,0,21,1,0,1,1,0,None,0.45,0,7,2024,False,False,False,True,True,False,False,True,False,False,False,False,False,True
3,Chandigarh,Punjab,30.787805,76.847507,11,1,1,0,30,2,0,5,2,0,None,0.65,0,3,2025,False,False,False,False,True,False,False,True,False,False,True,False,False,False
4,Chennai,Tamil Nadu,12.965155,80.283313,16,3,1,2,24,0,0,2,1,0,None,0.1,0,1,2024,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,Delhi,Delhi,28.79949,77.049666,8,5,1,2,36,2,2,4,4,1,None,0.65,0,7,2024,False,True,False,False,False,False,False,True,True,False,False,False,False,False
6,Bangalore,Karnataka,13.064327,77.530941,6,3,0,2,33,2,0,4,4,0,None,0.3,0,3,2025,True,False,False,False,False,False,False,False,True,False,False,False,False,False
7,Chandigarh,Punjab,30.786617,76.733947,14,3,1,2,25,0,1,3,0,0,None,0.1,0,5,2023,False,False,False,True,False,False,False,True,False,False,True,False,False,False
8,Hyderabad,Telangana,17.422447,78.464881,3,1,0,0,22,0,0,1,0,0,None,0.45,0,2,2022,False,False,True,False,False,True,False,True,False,False,False,False,False,False
9,Bangalore,Karnataka,12.939033,77.498966,4,3,1,2,23,0,0,1,0,0,None,0.1,0,3,2024,False,False,False,True,False,False,True,False,False,False,True,False,False,False
10,Chandigarh,Punjab,30.651926,76.876892,13,1,1,0,34,1,0,3,3,0,None,0.45,0,3,2022,False,False,True,False,True,False,False,False,False,False,False,False,False,True
11,Bangalore,Karnataka,12.936802,77.469957,2,5,1,1,33,0,0,2,0,0,None,0.25,0,1,2022,True,False,False,False,False,True,False,True,False,False,False,True,False,False
12,Mumbai,Maharashtra,19.132036,72.76057,9,5,1,0,17,1,1,4,1,1,None,0.6,0,11,2023,False,False,False,True,False,True,False,False,False,False,False,False,True,False
13,Pune,Maharashtra,18.532452,73.841799,8,6,0,0,40,1,1,5,2,1,Holi,0.7,1,3,2024,False,True,False,False,False,True,False,False,True,False,False,False,False,False
14,Chandigarh,Punjab,30.721892,76.711388,18,5,1,1,23,2,1,4,0,1,None,0.6,0,2,2025,False,True,False,False,False,True,False,True,False,False,True,False,False,False
15,Chandigarh,Punjab,30.772308,76.768413,8,1,0,2,23,2,0,4,4,1,None,0.45,0,3,2024,True,False,False,False,False,False,True,False,True,False,False,False,False,False
16,Hyderabad,Telangana,17.382285,78.551704,11,6,0,0,20,0,1,5,3,0,None,0.45,0,8,2023,False,True,False,False,False,True,False,True,False,False,False,True,False,False
17,Chennai,Tamil Nadu,13.161404,80.197819,21,1,1,0,30,1,2,5,5,0,None,0.65,0,9,2023,False,False,False,False,True,False,False,True,False,False,False,False,True,False
18,Hyderabad,Telangana,17.570411,78.310647,18,4,1,0,21,2,2,1,1,1,None,1.0,0,8,2024,False,False,False,False,True,False,False,True,False,False,False,False,False,True
19,Chandigarh,Punjab,30.629812,76.765481,2,5,1,0,36,0,0,2,0,0,None,0.45,0,2,2024,False,False,True,False,True,False,False,True,False,False,True,False,False,False
20,Kolkata,West Bengal,22.459848,88.361745,1,6,1,0,30,0,2,5,5,0,None,0.65,0,11,2022,True,False,False,False,True,False,False,False,False,False,False,False,False,False
21,Kolkata,West Bengal,22.692541,88.209956,0,3,0,0,25,1,0,4,1,0,None,0.45,0,12,2023,False,False,False,True,True,False,False,True,False,True,False,False,False,False
22,Bangalore,Karnataka,12.911401,77.624696,3,1,0,0,26,1,1,3,1,0,None,0.45,0,8,2024,False,False,False,False,False,True,False,True,False,False,False,False,True,False
23,Chennai,Tamil Nadu,12.98416,80.153974,23,2,0,2,36,1,0,3,2,0,None,0.1,0,7,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,True
24,Delhi,Delhi,28.528171,77.003017,1,5,1,2,29,2,0,3,2,0,None,0.3,0,3,2023,True,False,False,False,False,False,False,False,False,False,True,False,False,False
25,Delhi,Delhi,28.631253,77.168852,14,4,0,0,32,2,1,1,0,0,None,0.65,0,11,2022,False,True,False,False,False,True,False,False,False,False,False,False,False,True
26,Chennai,Tamil Nadu,12.964354,80.262971,13,6,0,2,39,2,1,1,1,0,None,0.3,0,10,2024,False,False,False,True,False,False,False,True,False,False,False,False,False,False
27,Chennai,Tamil Nadu,13.171632,80.200311,5,4,1,1,29,2,0,1,1,0,None,0.45,0,9,2023,False,False,False,True,False,True,False,False,False,False,False,False,True,False
28,Mumbai,Maharashtra,18.876038,72.816062,8,3,1,1,28,2,0,1,1,1,None,0.6,0,1,2024,False,True,False,False,False,True,True,False,False,False,False,False,True,False
29,Delhi,Delhi,28.494878,77.089734,17,6,0,0,17,2,0,4,0,1,None,0.8,0,4,2025,True,False,False,False,True,False,False,True,False,False,False,False,True,False
